Keyboard,Text,User Text,Elapsed Time (seconds),Levenshtein Transformations,Ratcliff,Jaro Winkler
QWERTYHierarchic,I LIKE IT,I LIKE IT,74.0,0,1,1
QWERTY,I LIKE IT,I LIKE IT,53.0,0,1,1
Hover,I LIKE IT,I LIKE IT,47.0,0,1,1
HandMovingKeyboardStatic,I LIKE IT,I LIKE IT,170.0,0,1,1
HandMovingKeyboard,I LIKE IT,I LIKE IT,261.0,0,1,1
HeadMovingKeyboard,I LIKE IT,I LIKE IT,78.0,0,1,1
HeadMovingKeyboardStatic,I LIKE IT,I LIKE IT,97.0,0,1,1
EightPen,I LIKE IT,I LIKE IT,56.0,0,1,1
EightPen,I LIKE IT,I LIKE IT,61.0,0,1,1
QWERTYTile,I LIKE IT,I LIKE IT,142.0,0,1,1
Hover,THIS LOOKS FINE,THIS LOOKS FINE,102.0,0,1,1
QWERTY,THIS LOOKS FINE,THIS LOOKS FINE,74.0,0,1,1
QWERTYTile,THIS LOOKS FINE,THIS LOOKS FINE,152.0,0,1,1
QWERTYHierarchic,THIS LOOKS FINE,THIS LOOKS FINE,118.0,0,1,1
EightPen,THIS LOOKS FINE,THIS LOOKS FINE,77.0,0,1,1
EightPen,THIS LOOKS FINE,THIS LOOKS FINE,148.0,0,1,1
HandMovingKeyboard,THIS LOOKS FINE,THIS LOOKS FINE,347.0,0,1,1
HandMovingKeyboardStatic,THIS LOOKS FINE,THIS LOOKS FINE,420.0,0,1,1
HeadMovingKeyboard,THIS LOOKS FINE,THIS LOOKS FINE,143.0,0,1,1
HeadMovingKeyboardStatic,THIS LOOKS FINE,THIS LOOKS FINE,181.0,0,1,1
